smiles,gas,dsrate,loss,td
CCCC(C)(C)CNC(=O)c1cccc(C(N)=O)c1,Ar,1,5,348
CCCC(C)(C)CNC(=O)c1cccc(C(N)=O)c1,air,1,5,302
CC1(C)CC(N)CC(C)(CNC(=O)CCCCC=O)C1,N2,5,0,286
CC1(C)CC(N)CC(C)(CNC(=O)CCCCC=O)C1,N2,5,50,372.5
CCCC(C)(C)CNC(=O)CCCCC(N)=O,Ar,1,5,317
CCCC(C)(C)CNC(=O)CCCCC(N)=O,air,1,5,305
CCCC(C)(C)CNC(=O)CCCCCCCC(N)=O,Ar,1,5,382
CCCC(C)(C)CNC(=O)CCCCCCCC(N)=O,air,1,5,346
CCCC(C)(C)CNC(=O)CCCCCC(N)=O,Ar,1,5,339
CCCC(C)(C)CNC(=O)CCCCCC(N)=O,air,1,5,341
CCCC(C)(C)CNC(=O)c1ccc(C(N)=O)cc1,Ar,1,5,365
CCCC(C)(C)CNC(=O)c1ccc(C(N)=O)cc1,air,1,5,285
CCCC(C)(C)CNC(=O)C(N)=O,Ar,1,5,327
CCCC(C)(C)CNC(=O)C(N)=O,air,1,5,286
Nc1cccc(NC(=O)c2cccc(C=O)c2)c1,N2,20,10,455
Nc1cccc(NC(=O)c2cccc(C=O)c2)c1,Ar,10,10,439
Nc1cccc(NC(=O)c2cccc(C=O)c2)c1,air,20,10,441
Nc1ccc(NC(=O)c2cccc(C=O)c2)cc1,N2,20,10,502
Nc1cccc(NC(=O)c2ccc(C=O)cc2)c1,N2,20,10,493
Nc1ccc(NC(=O)c2ccc(C=O)cc2)cc1,N2,10,5,520
Nc1ccc(NC(=O)c2ccc(C=O)cc2)cc1,air,5,10,532
CCCCCCNC(=O)c1ccc(C(N)=O)cc1,N2,20,5,479
Nc1ccc(Cc2ccc(NC(=O)c3ccc(C=O)cc3)cc2)cc1,N2,20,0,327
Nc1ccc(Cc2ccc(NC(=O)c3ccc(C=O)cc3)cc2)cc1,air,10,5,420
CNC(=O)CCCCC(N)=O,N2,10,5,480
CNC(=O)CCCCCCCCC(N)=O,N2,10,5,530
CCCCCCNC(=O)CCCCCCCCCCCCCCCCC(N)=O,N2,20,0,340
CCCCCCCCNC(=O)CCCCCCCCCCCCCCCCC(N)=O,N2,20,0,340
CCCCCCCCCCNC(=O)CCCCCCCCCCCCCCCCC(N)=O,N2,20,0,340
CCCCCCCCCCCNC(=O)CCCCCCCCC(N)=O,N2,20,0,408
Nc1ccc(CCC=O)cc1,N2,10,1,375
Nc1ccc(NC(=O)c2ccc(P(=O)(c3ccccc3)c3ccc(C=O)cc3)cc2)cc1,air,10,5,425
Nc1ccc(NC(=O)c2ccc(P(=O)(c3ccccc3)c3ccc(C=O)cc3)cc2)cc1,N2,10,5,425
O=Cc1ccc(C(=O)N2CCNCC2)cc1,N2,10,5,435
O=Cc1ccc(C(=O)N2CCNCC2)cc1,N2,10,50,450
O=Cc1ccc(C(=O)N2CCNCC2)cc1,air,10,5,400
O=Cc1cccc(C(=O)N2CCNCC2)c1,N2,10,5,400
O=Cc1cccc(C(=O)N2CCNCC2)c1,N2,10,50,415
O=Cc1cccc(C(=O)N2CCNCC2)c1,air,10,5,400
O=C(O)c1cc(C(=O)Nc2ccc(O)cc2)c(C(=O)O)cc1C(=O)Nc1ccccc1,N2,10,25,277
CCCCCCCCCCNC(=O)CCP(C)(=O)CCC(N)=O,N2,10,1,100
CCCCCCCCCCCCNC(=O)CCP(C)(=O)CCC(N)=O,N2,10,1,200
CCCCCCNC(=O)c1c(Cl)c(Cl)c(C(N)=O)c(Cl)c1Cl,N2,20,5,364
Nc1cccc(/C=C/C(=O)/C=C/c2cccc(NC(=O)CCCCC=O)c2)c1,air,10,10,280
CCCCCCNC(=O)CCCCC(=O)NCC(N)=O,N2,20,0,341
C#CCOc1ccc(Oc2c(F)c(F)c(C(=O)c3ccc(Oc4ccc(C(=O)c5c(F)c(F)c(Oc6ccc(C(c7ccc(Oc8c(F)c(F)c(C(=O)c9ccc(Oc%10ccc(C(=O)c%11c(F)c(F)c(Oc%12ccc(OCC#C)cc%12)c(F)c%11F)cc%10)cc9)c(F)c8F)cc7)(C(F)(F)F)C(F)(F)F)cc6)c(F)c5F)cc4)cc3)c(F)c2F)cc1,N2,20,10,545
C#CCOc1ccc(Oc2c(F)c(F)c(C(=O)c3ccc(Oc4ccc(C(=O)c5c(F)c(F)c(Oc6ccc(C(c7ccc(Oc8c(F)c(F)c(C(=O)c9ccc(Oc%10ccc(C(=O)c%11c(F)c(F)c(Oc%12ccc(OCC#C)cc%12)c(F)c%11F)cc%10)cc9)c(F)c8F)cc7)(C(F)(F)F)C(F)(F)F)cc6)c(F)c5F)cc4)cc3)c(F)c2F)cc1,N2,20,50,750
O=C1c2ccc(C(O)c3ccc4c(c3)C(=O)N(c3ccc(Cc5ccc(N6C(=O)C7C8C=CC(C8)C7C6=O)cc5)cc3)C4=O)cc2C(=O)N1c1ccc(Cc2ccc(N3C(=O)C4C5C=CC(C5)C4C3=O)cc2)cc1,air,10,0,408
CN=P(C)(OCC(F)(F)F)Oc1ccc(N2C(=O)C3C(C2=O)C2(Cl)C(Cl)=C(Cl)C3(Cl)C2(Cl)Cl)cc1,N2,10,0,405
CN=P(C)(OCC(F)(F)F)Oc1ccc(N2C(=O)C3C4C=CC(C4)C3C2=O)cc1,N2,10,0,441
CN=P(C)(OCC(F)(F)F)Oc1ccc(N2C(=O)C3C4C=C(C)C(C4)C3C2=O)cc1,N2,10,0,455
Nc1cccc(P(=O)(c2cccc(N3C(=O)C4C5C=CC(C5)C4C3=O)c2)c2cccc(N3C(=O)C4C5C=CC(C5)C4C3=O)c2)c1,N2,10,0,492
Nc1cccc(P(=O)(c2cccc(N)c2)c2cccc(N3C(=O)C4C5C=CC(C5)C4C3=O)c2)c1,N2,10,0,485
O=C1C2C3C=CC(C3)C2C(=O)N1c1cccc(P(=O)(c2cccc(N3C(=O)C4C5C=CC(C5)C4C3=O)c2)c2cccc(-n3c(=O)c4cc5cc6c(=O)n(-c7cccc(P(=O)(c8cccc(N9C(=O)C%10C%11C=CC(C%11)C%10C9=O)c8)c8cccc(N9C(=O)C%10C%11C=CC(C%11)C%10C9=O)c8)c7)c(=O)c6cc5cc4c3=O)c2)c1,N2,10,0,465
O=C1c2ccc(Oc3ccc4c(c3)C(=O)N(c3cccc(P(=O)(c5cccc(N6C(=O)C7C8C=CC(C8)C7C6=O)c5)c5cccc(N6C(=O)C7C8C=CC(C8)C7C6=O)c5)c3)C4=O)cc2C(=O)N1c1cccc(P(=O)(c2cccc(N3C(=O)C4C5C=CC(C5)C4C3=O)c2)c2cccc(N3C(=O)C4C5C=CC(C5)C4C3=O)c2)c1,N2,10,0,420
Nc1cccc(P(=O)(c2cccc(N3C(=O)C4C5C=CC(C5)C4C3=O)c2)c2cccc(-n3c(=O)c4cc5cc6c(=O)n(-c7cccc(P(=O)(c8cccc(N)c8)c8cccc(N9C(=O)C%10C%11C=CC(C%11)C%10C9=O)c8)c7)c(=O)c6cc5cc4c3=O)c2)c1,N2,10,0,430
Nc1cccc(P(=O)(c2cccc(N3C(=O)c4ccc(Oc5ccc6c(c5)C(=O)N(c5cccc(P(=O)(c7cccc(N)c7)c7cccc(N8C(=O)C9C%10C=CC(C%10)C9C8=O)c7)c5)C6=O)cc4C3=O)c2)c2cccc(N3C(=O)C4C5C=CC(C5)C4C3=O)c2)c1,N2,10,0,454
O=C1C2C3C=CC(C3)C2C(=O)N1c1cccc(P(=O)(c2cccc(N3C(=O)C4C5C=CC(C5)C4C3=O)c2)c2cccc(-n3c(=O)c4cc5c(=O)n(-c6cccc(P(=O)(c7cccc(N8C(=O)C9C%10C=CC(C%10)C9C8=O)c7)c7cccc(N8C(=O)C9C%10C=CC(C%10)C9C8=O)c7)c6)c(=O)c5cc4c3=O)c2)c1,N2,10,0,470
